Overall: 
SDC: 13.560172638763424%
Benign: 43.751881963264076%
Crash: 42.6879453979725%
Breakdown: 
-- FI Index: 585, SDC: 0.4444444444444444, Benign: 0.0, Crash: 0.5555555555555556, Total FI: 9
-- FI Index: 955, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 14
-- FI Index: 956, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 586, SDC: 0.8888888888888888, Benign: 0.1111111111111111, Crash: 0.0, Total FI: 9
-- FI Index: 958, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 4
-- FI Index: 959, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 3
-- FI Index: 960, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 3
-- FI Index: 961, SDC: 0.6666666666666666, Benign: 0.0, Crash: 0.3333333333333333, Total FI: 6
-- FI Index: 963, SDC: 0.25, Benign: 0.0, Crash: 0.75, Total FI: 4
-- FI Index: 964, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 965, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 4
-- FI Index: 966, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 3
-- FI Index: 968, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 3
-- FI Index: 969, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 970, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 3
-- FI Index: 1021, SDC: 0.5294117647058824, Benign: 0.47058823529411764, Crash: 0.0, Total FI: 17
-- FI Index: 972, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 973, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 9
-- FI Index: 974, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 975, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 3
-- FI Index: 976, SDC: 0.0, Benign: 0.3333333333333333, Crash: 0.6666666666666666, Total FI: 3
-- FI Index: 977, SDC: 0.0, Benign: 0.5, Crash: 0.5, Total FI: 4
-- FI Index: 978, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 3
